ALL SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NEW ENGLAND SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MIDWEST SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAPAN SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CANADA SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EUROPE SKI AREAS WITH U.S.-BASED MULTIMOUNTAIN PASS MEMBERSHIP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Public, Chairlift-Served U.S.
Ski Areas Without National Pass
Affiliation",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Le Massif du Charlevoix,"2,527 ",406,254,Independent,"Ikon, MC",,,1,,,,,,3,,,,,,,,,2,,3,9,,,7,5B,"1-4, B, S",,2,"2022, 2025",Canada - East,Public w/Aerial Lifts,,,Monarch,"1,097 ","1,017",308,Independent,"Snow Pass, Power",,,,,,,,,,1,1,,4,,,,,,,2,8,,,,,,,,2026,U.S. - West,,U.S. - Vermont,Smugglers' Notch,"2,610 ","1,060",322,Bear Den Partners,Indy,,,,,,,,,,,,,6,,,1,,,,2,9,,,,,,2,,2026,U.S. - East,,U.S. - Wisconsin,Camp 10,230 ,120,60,Independent,Indy,,,,,,,,,,,,,1,,,2,,,1,,4,,,,,,,,2026,U.S. - Midwest,,,Kandatsu Snow Resort,"1,772 ",,433,,Indy,,,,,,,,,,3,,,3,,,,,,,,6,,,,,,2,,2026,Japan (Niigata),,Canada - Quebec,Mont Rigaud,407 ,159,59,Independent,Indy,,,,,,,,,,2,,,,,,,,,,2,4,,,,,,2,,2024,Canada - East,,,Crans-Montana,"4,698 ",,117,Vail Resorts,Epic,,1,3,,,,3,,3,,,,,,,1,8,,,4,24,U,5,,,,,,2024,Europe - Switzerland,,,Blacktail,"1,440 ","1,000",250,Larry Scrivanich,,,,,,,,,,,,1,,2,,,,,,,1,4,,,,,,,,,U.S. - West
,Massif du Sud,"1,686 ",331,144,Independent,Indy,,,,,,,,,,1,,,,,,,,1,,,2,,,,,,2,,2024,Canada - East,Public w/Aerial Lifts,,,Powderhorn,"1,650 ","1,600",225,Pacific Group Resorts,Indy,,,,,,,,,2,,,,1,,,,,,,2,5,,,,,,2,,2024,U.S. - West,,U.S. - Vermont,Stowe,"2,360 ",485,314,Vail Resorts,Epic,,,2,,,,1,,3,1,1,,2,,,,,,,2,12,U,UB,,,,,,2017,U.S. - East,,U.S. - Wisconsin,Christie Mountain,350 ,100,33,Independent,Indy,,,,,,,,,,,,,1,,,1,,,3,,5,,,,,,2,,2024,U.S. - Midwest,,,Maiko Snow Resort,"2,165 ",,350,Independent,Indy,,,1,,,,,,4,,,1,4,,2,,,,,,12,,,,,,2,,2024,Japan (Niigata),,Canada - Quebec,Mont Sutton,"1,496 ",230,140,Independent,Indy,,,,,,,,,1,2,,,6,,,,,,,1,10,,,,,,2B,,2025,Canada - East,,,Disentis,"5,269 ",,263,Independent,Epic,2,,,,,,,,2,,1,,,,,3,2,,1,1,12,U,5S,,,,,,2023,Europe - Switzerland,,,Bridger Bowl,"2,600 ","2,000",303,Independent,,,,,,,,,,,1,6,,1,,,,,1,,2,11,,,,,,,,,U.S. - West
,Mont Edouard,"1,477 ",200,217,Quebec Mountain Ski Company,Indy,,,,,,,,,,2,,,,,,,,,,1,3,,,,,,2,,2025,Canada - East,Public w/Aerial Lifts,,,Purgatory,"2,072 ","1,635",261,Mountain Capital Partners,Power,,,,,,,1,,2,,4,,3,,,,,,,2,12,,,,,,,,,U.S. - West,,U.S. - Vermont,Stratton,"2,003 ",670,180,Alterra ,Ikon,,,1,,,,4,,1,2,1,,1,,,,,,,4,14,,,U,UB,"1-4, B, S",,,2018,U.S. - East,,U.S. - Wisconsin,Devil’s Head,500 ,300,70,Independent,Ikon,,,,,,,,,,6,,,,,,,,,2,,8,,,"2, B",,,,,2026,U.S. - Midwest,,,Muica Snow Resort,"1,312 ",244,394,Independent,Indy,,,,,,,,,,1,,,3,,,,,,,1,5,,,,,,2,,2024,Japan (Niigata),,Canada - Quebec,Mont Tremblant,"2,116 ",755,192,Alterra ,Ikon,,,2,,1,,,,6,2,1,,,,,,,,,2,14,,,U,U,"1-4, B, S",,,2018,Canada - East,,,Engstligenalp (-Adelboden),"1,253 ",,,,Indy,2,,,,,,,,,,,,,,,3,,1,2,,8,,,,,,2,,2026,Europe - Switzerland,,,Discovery,"1,670 ","2,200",215,Independent,,,,,,,,,,,,5,,2,,,,,,,1,8,,,,,,,,,U.S. - West
,Mont Habitant,601 ,55,130,,Indy,,,,,,,,,,2,,,,,,,,,,1,3,,,,,,2,,2025,Canada - East,Public w/Aerial Lifts,,,Snowmass,"4,400 ","3,342",301,Aspen Skiing Company,"Ikon, MC",,,1,1,,,3,,6,2,,,1,,,1,,3,,2,20,,,7S,"5, B",,,2S,"2012, 2018",U.S. - West,,U.S. - Vermont,Sugarbush,"2,600 ",581,267,Alterra ,Ikon,,,,,,,,,5,6,1,,1,,,1,,,,3,17,,,U,UB,"1-4, B, S",,,2018,U.S. - East,,U.S. - Wisconsin,Granite Peak,658 ,400,60,Midwest Family Ski Resorts,Ikon,,,,,,,1,,2,,2,,,,,,,,,2,7,,,7,"5, B","1-4, B, S",,,2026,U.S. - Midwest,,,Myoko Suginohara Ski Resort,"3,688 ",222,512,Prince Snow Resorts,Ikon,,,1,,,,,,,2,,,2,,,,,,,,5,,,7,5,,,,2025,Japan (Niigata),,Canada - Quebec,Mont-Sainte Anne,"2,050 ",547,209,Resorts of the Canadian Rockies,Epic,,,1,,,,,,3,1,,,,,,2,,,,2,9,7S,,,,,,,2017,Canada - East,,,Hohsaas - Saas-Grund,"5,384 ",,,,Indy,,,2,,,,,,,,,,,,,1,1,,1,2,7,,,,,,2,,2026,Europe - Switzerland,,,Great Divide,"1,500 ","1,600",180,Independent,,,,,,,,,,,,,,5,,,,,,1,,6,,,,,,,,,U.S. - West
,Mont Kanasuta,482 ,45,120,,Indy,,,,,,,,,,1,,,,,,1,,,,1,3,,,,,,2,,2026,Canada - East,Public w/Aerial Lifts,,,Steamboat,"3,668 ","3,741",370,Alterra ,Ikon,,,2,1,,,1,,8,,4,,2,,,,,,1,6,25,,,U,5B,"1-4, B, S",,,2018,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Mount La Crosse,516 ,100,41,Independent,Indy,,,,,,,,,,,,,3,,,,,,,1,4,,,,,,2,,2025,U.S. - Midwest,,,Ninox Snow Park,708 ,49,,Independent,Indy,,,,,,,,,,1,,,1,,,,,,,,2,,,,,,2,,2024,Japan (Niigata),,Canada - Quebec,Owl's Head,"1,608 ",130,175,,Indy,,,,,,,,,2,2,,,1,,,,,,,1,6,,,,,,2,,2025,Canada - East,,,Leukerbad Torrent Ski Resort (& Gemmi for Magic only?),"3,934 ","8,000",,,Indy,1,,2,,,,1,,,,,,,,,2,1,,2,4,13,,,,,,2,,2025,Europe - Switzerland,,,Teton Pass,"1,000 ",407,250,Independent,,,,,,,,,,,,,,1,,,,,1,,1,3,,,,,,,,,U.S. - West
,Mont Rigaud,407 ,159,59,Independent,Indy,,,,,,,,,,2,,,,,,,,,,2,4,,,,,,2,,2024,Canada - East,Public w/Aerial Lifts,,,Sunlight,"1,753 ",730,227,Independent,Indy,,,,,,,,,,1,2,,,,,,,,,7,10,,,,,,2,,2022,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Nutt Hill,120 ,7,,Independent,Indy,,,,,,,,,,,,,,,,,,,,1,1,,,,,,2,,2026,U.S. - Midwest,,,Yuzawa Nakazato,801 ,326,531,Independent,Indy,,,,,,,,,1,,,,5,,,,,,,1,7,,,,,,2,,2024,Japan (Niigata),,Canada - Quebec,Ski Saint-Bruno,440 ,35,,,Indy,,,,,,,,,,2,2,,,,,,,,,5,9,,,,,,2,,2026,Canada - East,,,Pizol,"5,712 ",,,,Indy,,,2,,,,1,,3,,,,,,,2,2,,1,,11,,,,,,2,,2026,Europe - Switzerland,,,Turner,"2,110 ","1,000",250,Independent,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,U.S. - West
,Mont Sutton,"1,496 ",230,140,Independent,Indy,,,,,,,,,1,2,,,6,,,,,,,1,10,,,,,,2B,,2025,Canada - East,Public w/Aerial Lifts,,,Telluride,"3,790 ","2,000",280,Independent,Epic,,,2,,,,,1,7,1,1,,2,,,,,2,,3,19,7,,,,,,,2018,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Paul Bunyan,115 ,30,65,Independent,Indy,,,,,,,,,,,,,,,,1,,,4,1,6,,,,,,2,,2026,U.S. - Midwest,,Japan (Yamagata),Zao Onsen,"2,890 ",754,632,Independent,Ikon,2,1,1,,,,,,4,,2,,25,,,,,,,,35,,,7,5,,,,2025,Japan (Yamagata),,Canada - Quebec,Stoneham,"1,132 ",336,169,Resorts of the Canadian Rockies,Epic,,,,,,,,,1,3,,,,,,,,,,2,6,7S,,,,,,,2017,Canada - East,,,St. Moritz,"4,941 ","86,487",369,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,58,,,7,5,,,,2024,Europe - Switzerland,,,Whitefish,"2,353 ","3,000",303,Independent,,,,,,,,1,,3,2,6,,,,,2,,,,2,16,,,,,,,,,U.S. - West
,Mont Tremblant,"2,116 ",755,192,Alterra ,Ikon,,,2,,1,,,,6,2,1,,,,,,,,,2,14,,,U,U,"1-4, B, S",,,2018,Canada - East,Public w/Aerial Lifts,,,Vail Mountain    ,"3,450 ","5,317",354,Vail Resorts,Epic,,,2,,,,4,,14,1,2,,,,,1,,3,,5,32,U,10SB,,,,,,2008,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Sunburst,197 ,30,11,Independent,Indy,,,,,,,,,,,,,3,,,,,,4,2,9,,,,,,2,,2025,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada - Quebec,Val D'Irene,899 ,72,92,Independent,Indy,,,,,,,,,,1,,,,,,1,,,,1,3,,,,,,2,,2025,Canada - East,,,Tschiertschen,"3,383 ",,,,Indy,,,,,,,,,1,1,,,,,,2,,,,,4,,,,,,2,,2026,Europe - Switzerland,,U.S. - Nevada,Diamond Peak,"1,478 ",655,250,Independent,,,,,,,,,,1,2,,,3,,,,,,,1,7,,,,,,,,,U.S. - West
,Mont-Sainte Anne,"2,050 ",547,209,Resorts of the Canadian Rockies,Epic,,,1,,,,,,3,1,,,,,,2,,,,2,9,7S,,,,,,,2017,Canada - East,Public w/Aerial Lifts,,,Winter Park,"3,060 ","3,081",344.6,Alterra ,Ikon,,,1,,1,,4,,5,,3,,6,,,,,1,,3,24,,,U,U,"1-4, B, S",,,2018,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Trollhaugen,272 ,86,50,Independent,Indy,,,,,,,,,,4,,,,,,,,,5,,9,,,,,,2,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canada - Quebec,Vallee Bleue,367 ,50,155,Independent,Indy,,,,,,,,,,1,1,,,,,,,,,1,3,,,,,,2,,2025,Canada - East,,,Verbier 4 Vallées,"6,033 ",,240,Independent,Epic,,,,,,,,,,,,,,,,,,,,,80,5C,5C,,,,,,2016,Europe - Switzerland,,,Mt. Rose,"1,623 ","1,200",313,Independent,,,,,,,,2,,1,2,1,,,,,,,,,3,9,,,,,,,,,U.S. - West
,Owl's Head,"1,608 ",130,175,,Indy,,,,,,,,,2,2,,,1,,,,,,,1,6,,,,,,2,,2025,Canada - East,Public w/Aerial Lifts,,U.S. - Connecticut,Mohawk Mountain,640 ,112,92,Independent,Indy,,,,,,,,,,,5,,,,,,,,,4,9,,,,,,2B,,2019,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Tyrol Basin,300 ,40,51,Independent,Indy,,,,,,,,,,,3,,,,,,,,2,2,7,,,,,,2,,2019,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zermatt Matterhorn,"7,425 ","3,500",138,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,2019,Europe - Switzerland,,U.S. - New Hampshire,Bretton Woods,"1,500 ",470,200,Omni Hotels,,,,1,,,,,,4,1,,,,,,1,,,,2,9,,,,,,,,,U.S. - East
,Ski Saint-Bruno,440 ,35,,,Indy,,,,,,,,,,2,2,,,,,,,,,5,9,,,,,,2,,2026,Canada - East,Public w/Aerial Lifts,,,Mount Southington,354 ,51,40,Independent,Snow Pass,,,,,,,,,,,3,,1,,,,,,,3,7,,,,,,,,"2023, 2026",U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Whitecap Mountains,455 ,400,200,Independent,Indy,,,,,,,,,,,1,,4,,,,,,,1,6,,,,,,2,,2026,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Europe - Switzerland, Europe - France",Portes du Soleil,"4,353 ","16,018",315,,Indy,2,,9,,,2,35,,8,19,5,,2,,,6,,66,5,5,164,,,,,,2,,2025,Europe - Switzerland,,,Campton,313 ,,,Independent,,,,,,,,,,,,,,1,,,,,,1,,2,,,,,,,,,U.S. - East
,Stoneham,"1,132 ",336,169,Resorts of the Canadian Rockies,Epic,,,,,,,,,1,3,,,,,,,,,,2,6,7S,,,,,,,2017,Canada - East,Public w/Aerial Lifts,,,Powder Ridge,550 ,80,38,Independent,Indy,,,,,,,,,,,1,,2,,,,,,,2,5,,,,,,2B,,2026,U.S. - East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - Wisconsin,Wilmot,200 ,120,48,Vail Resorts,Epic,,,,,,,,,,3,1,,2,,,,,,2,2,10,U,U,,,,,,2016,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe - Turkey,Erciyes,"4,127 ",2965,,Independent,Indy,,,2,,,,3,,2,6,,,,,,,,,1,5,19,,,,,,2,,2024,Europe - Turkey,,,Granite Gorge,525 ,25,100,Independent,,,,,,,,,,,,,,1,,,,,,1,1,3,,,,,,,,,U.S. - East
,Val D'Irene,899 ,72,92,Independent,Indy,,,,,,,,,,1,,,,,,1,,,,1,3,,,,,,2,,2025,Canada - East,Public w/Aerial Lifts,,U.S. - Idaho,Brundage,"1,921 ","1,920",297,Independent,Indy,,,,,,,,,2,,3,,,,,,,,,1,6,,,,,,2B,,2019,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kaya Palazzo Kartalkaya Dorukkaya (Dorukkaya - Bolu-Kartalkaya),"1,112 ",,,,Indy,,,,,,,,,1,,,,,,,4,2,,1,2,10,,,,,,2,,2025,Europe - Turkey,,,Gunstock,"1,340 ",227,120,Independent,,,,,,,,,,1,2,2,,,,,,,,,3,8,,,,,,,,,U.S. - East
,Vallee Bleue,367 ,50,155,Independent,Indy,,,,,,,,,,1,1,,,,,,,,,1,3,,,,,,2,,2025,Canada - East,Public w/Aerial Lifts,,,Kelly Canyon,"1,200 ",640,250,Independent,Indy,,,,,,,,,,,1,,2,,,,,,,1,4,,,,,,2,,2022,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Palandoken Ski Resort,"3,255 ",,,Independent,Indy,,,2,,,,,,3,3,1,,3,,,1,,,,3,16,,,,,,2,,2025,Europe - Turkey,,U.S. - New Jersey,Campgaw,270 ,18,45,Independent,,,,,,,,,,,,,,2,,,,,,,3,5,,,,,,,,,U.S. - East
Chile,Corralco,"3,150 ","2,475",354,Independent,Indy,,,,,,,,,1,,,,1,,,,5,,,,7,,,,,,2,,2025,Chile,,,,Little Ski Hill,393 ,40,150,Independent,Indy,,,,,,,,,,,,,,,,1,,,,,1,,,,,,2,,2025,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Europe -Czech Republic,Malá Úpa,870 ,,26,Independent,Indy,,,,,,,,,,,,,,,,5,,1,,1,7,,,,,,2,,2024,Europe -Czech Republic,,U.S. - New Mexico,Angel Fire Resort,"2,077 ",560,210,Independent,,,,,,,,1,,2,1,,,2,,,,,,,2,8,,,,,,,,,U.S. - West
,La Parva,"3,018 ","1,977",300,Mountain Capital Partners,Power,,,,,,,,,,2,2,,1,,,10,,,,,15,,,,,,,,,Chile,,,,Magic Mountain,740 ,120,230,Independent,Indy,,,,,,,,,,,,,1,,,,,,,2,3,,,,,,2,,,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cloudcroft,700 ,74,120,Independent,,,,,,,,,,,,,,1,,,,,,2,,3,,,,,,,,,U.S. - West
,Valle Nevado,"2,658 ","2,400",240,Mountain Capital Partners,"Ikon, MC, Power",,,1,,,,,,1,1,1,,2,,,1,6,,,3,16,,,"7, 26, 27","5, 26, 27",,,"2, 26","2015, 2018",Chile,,,,Pebble Creek,"2,200 ","1,100",225,Independent,Indy,,,,,,,,,,,3,,,,,,,,,1,4,,,,,,2,,2026,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Red River,"1,600 ",285,214,Independent,,,,,,,,,,,1,4,,,,,,,,2,,7,,,,,,,,,U.S. - West
China - Heibei,Yunding Snow Park (Genting Resort Secret Garden),"1,306 ",257,394,Independent,Ikon,,,,,,,1,1,2,1,,,,,,,,,,3,8,,,7,5,,,,2025,"Asia, China",,,,Pomerelle,"1,002 ",500,325,Independent,Indy,,,,,,,,,,,2,,,,,,,,,1,3,,,,,,2,,2021,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ski Apache,"1,900 ",750,180,Independent,,,,1,,,,,,,3,5,,,,,,,,2,,11,,,,,,,,,U.S. - West
China - Jilin,Lake Songhua Ski Course (Vanke Songhua Lake),"1,870 ",,,Prince Snow Resorts,Ikon,,,1,,,,,,5,,,,1,,,,,,,,7,,,7,5,,,,2026,"Asia, China",,,,Schweitzer,"2,429 ","2,900",271,Alterra ,Ikon,,,,,,,1,,4,,2,,1,,,1,,,,1,10,,,U,5B,"1-4, B, S",,,2021,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ski Santa Fe,"1,725 ",660,225,Independent,,,,,,,,,,1,1,2,,1,,,,,,,2,7,,,,,,,,,U.S. - West
,Qiaoshan Beidahu,"2,871 ",,,,Ikon,,,5,,,,,,4,,,,1,,,,,,,7,17,,,7,5,,,,2026,"Asia, China",,,,Silver Mountain,"2,200 ","1,600",328,CMR Lands,Indy,,,1,,,,,,,1,2,,2,,,,,,,,6,,,,,,2B,,2019,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,U.S. - New York,Bristol,"1,200 ",138,130,Independent,,,,,,,,,,2,1,1,,1,,,,,,,2,7,,,,,,,,,U.S. - East
Europe - Andorra,Grandvalira Resorts,"3,312 ","7,599",,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,123,,,7,5,,,,2022,Europe - Andorra,,,,Soldier Mountain,"1,421 ","1,142",175,Independent,Indy,,,,,,,,,,,,,2,,,,,,,1,3,,,,,,2,,2021,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Mountain,400 ,37,90,Independent,,,,,,,,,,,1,2,,,,,,,,1,1,5,,,,,,,,,U.S. - East
Europe - Austria,Heiligenblut am Großglockner,"5,253 ",,,,Indy,,,3,1,,,,,1,,,,,,,3,,2,1,1,12,,,,,,2,,2026,Europe - Austria,,,,Sun Valley: Bald ,"3,400 ","2,533",193,Holding Family,"Ikon, MC",,,1,,,,3,,5,,2,,,,,,,,,1,12,,,7S,,,,2S,2022,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Holiday Valley,750 ,290,180,Independent,,,,,,,,1,,3,7,,,,,,,,,,2,13,,,,,,,,,U.S. - East
,Hintertux,"5,742 ",,354,Independent,Epic,,,6,,,,3,,1,,1,,1,,,7,,,,1,20,5CS,,,,,,,2025,Europe - Austria,,,,Sun Valley: Dollar ,628 ,296,,Holding Family,"Ikon, MC",,,,,,,,,2,,1,,1,,,,,,,1,5,,,7S,,,,2S,2022,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kissing Bridge,550 ,,180,Independent,,,,,,,,,,,2,1,,3,,,,,,2,1,9,,,,,,,,,U.S. - East
,Hochzeiger Bergbahnen Pitztal AG,"3,445 ",,276,,Indy,,,1,,,1,2,,,,,,1,,,1,,3,,7,16,,,,,,2B,,2025,Europe - Austria,,,,Tamarack,"2,800 ","1,100",275,Independent,Ikon,,,,,,,,,3,2,,,,,,,,1,,1,7,,,"2, B",,,,,2026,U.S. - West,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Labrador,700 ,250,125,Intermountain Management,,,,,,,,,,,,1,,2,,,1,,,2,,6,,,,,,,,,U.S. - East
,Innsbruck Ski & City Network,"5,282 ","11,614",248,Independent,Indy,,,,,,,,,,,,,,,,,,,,,111,,,,,,2,,2024,Europe - Austria,,,U.S. - Illinois,Chestnut,475 ,220,34,Independent,Indy,,,,,,,,,,2,4,,,,,,,,1,2,9,,,,,,2,,2022,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,McCauley,633 ,75,281,Independent,,,,,,,,,,,,1,,,,,2,,,2,,5,,,,,,,,,U.S. - East
,Ischgl,"4,925 ","1,273",244,Independent,Ikon,,,,,,,,,,,,,,,,,,,,,,,,7,5,,,,2025,Europe - Austria,,,,Snowstar,262 ,28,39,Independent,Indy,,,,,,,,,,2,,,2,,,,,,,1,5,,,,,,2,,2023,U.S. - Midwest,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mount Peter,280 ,60,50,Independent,,,,,,,,,,,1,,,2,,,,,,,3,6,,,,,,,,,U.S. - East
