storm_name	atlas_name	pass
Falls Creek	Falls Creek	epic
Hotham	Mount Hotham	epic
Mt. Buller	Mount Buller	ikon,mountain_collective
Perisher	Perisher	epic
Thredbo	Thredbo Resort	ikon
Banff Sunshine	Banff Sunshine Village	ikon,mountain_collective
Castle Mountain	Castle Mountain Resort	indy
Lake Louise	Lake Louise Ski Area	ikon,mountain_collective
Marmot Basin	Marmot Basin	mountain_collective
Apex Mountain	Apex Mountain Resort	indy
Big White	Big White Ski Resort	indy
